,molecule_chembl_id,smiles,pValue,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,pca_16,pca_17,pca_18,pca_19,pca_20,pca_21,pca_22,pca_23,pca_24,pca_25,pca_26,pca_27,pca_28,pca_29,pca_30,pca_31,pca_32,pca_33,pca_34,pca_35,pca_36,pca_37,pca_38,pca_39,pca_40,pca_41,pca_42,pca_43,pca_44,pca_45,pca_46,pca_47,pca_48,pca_49,pca_50,pca_51,pca_52,pca_53,pca_54,pca_55,pca_56,Morgan_Fingerprint
387,CHEMBL1971943,Cc1c[nH]c2nccc(Oc3c(F)cc(Nc4cc(Cl)nc(N)n4)cc3F)c12,5.800000874803203,2.187920088986356,-0.2866158156358459,-1.7505286108509328,2.2344188573280315,-3.1370440307941507,-3.4132022544007916,0.9531614227563325,-0.9071885049221706,-0.7165016625333307,0.5087945746716214,0.35930692794996316,1.0367328837475516,-1.515990536021356,0.7157978372795151,1.1286394454061144,0.13141797431962834,-1.7863499212346967,0.7501016822731652,-1.7921812312980145,0.8041825667106237,-2.0692570034595916,-0.16312996401178229,-0.5546975117684239,2.067016281098049,-0.3222676308647724,-0.09687056285141937,-0.6642130040412785,-1.145296317243836,0.7849245815972005,-2.492678970015804,-0.8437912007428242,-2.031594313389069,0.10373543217683484,0.10927235610032941,-0.2276526729452302,0.6757091016039576,0.1449514184641567,0.920797544271512,-0.90273322536625,-0.9692800848899026,0.6790926377154246,0.4857523121354349,-0.017560671061000916,1.4519785101385774,-1.998964756729715,-0.9951573245798464,0.7154897264646854,0.596598933843903,-0.5603737007420854,1.8042740128682104,1.0283608432014222,-0.6926019459830977,0.13662434176000934,-0.2352096793093504,-0.00621446169828553,-0.3841834636554474,[0 0 0 ... 0 0 0]
388,CHEMBL1997924,c1ccc(CNc2nc(Nc3cc(C4CC4)[nH]n3)c3sccc3n2)cc1,8.100015437450608,-1.2136712386506958,3.3047462379926382,3.2351614403088527,0.3345503949524068,-2.709431417708549,-0.4543384946211815,0.4482584051474345,-0.5397404813278713,1.221568225188697,-3.1702313471011103,-1.3321864763147302,-2.4045059174803534,-1.3604344246017068,-1.9133274855846412,-1.4999665748585518,1.7381082646390473,2.5300379755309144,-0.7456999773410373,-0.2578837551609859,-0.8523053944291276,0.9889462249326246,0.7631014781425904,0.26242080531790923,-0.6756470532148214,0.9972977349599466,-0.08910588420533012,-1.3678077308263537,0.8484010071588908,0.9815204647602978,0.1729647425648914,0.008964027668149181,-0.26111361954303663,0.27634764671620754,2.493966555389725,-0.44402065631681015,0.0993899163757803,-0.6455392235646584,-0.5867571416753223,-1.4438804898120328,0.7420847931919831,1.1877551045248038,0.5024284828473595,1.164524311958164,-1.0335634660943924,0.7409832425150538,-1.403378648340228,0.6740590752982613,1.7383334886288693,0.9995130912343508,0.5049358289249809,-0.029289009597312975,0.01711006978868131,-0.07591613734587498,1.0112296944337196,0.24566005669288316,0.2567555459580343,[0 0 0 ... 0 0 0]
389,CHEMBL1969049,COc1cccc(C(C)NC(=O)c2ccc(-c3ccncc3)c(C)c2)c1,7.0,-1.7803417743146683,-0.38345605191479337,0.04974270403920479,-2.964946358059303,2.828341237968616,3.0746747785025126,-0.7726705536212439,-0.5579355480112618,-1.4127485168885183,1.5259819571015933,1.7047299702069225,1.4582968452294798,-0.3814519408664986,-2.4222912904506866,-0.38174071979578067,-1.3022477129645977,0.2675960709719758,1.0491037421739882,0.15469432344471495,0.905904662200324,0.07347302136499684,-0.8827997011360467,0.5961406106782016,-0.49071323808148076,-1.4125027822873941,0.12245054926957769,0.21623792328970373,0.17151969555461416,-1.3064157757493704,-0.04892237425054463,-0.6290510385610829,0.16007080834718054,0.07277916910789156,-0.2380396521363328,-0.10850657183813082,0.8745091060181723,0.06353042269425863,0.43009197020720896,0.1979927082317846,-1.1933344335013545,0.917186880368895,-0.46916657437315024,0.948973434857335,-0.058121628732413194,-0.2853352045751837,0.472513390513521,-0.9803056498887024,-1.1274574038771235,-0.6698058073152975,-0.18933996882550075,-0.18418514212606513,0.09358384472885437,0.4083810644023873,0.4193836109038434,-0.5077737202176152,0.7626604844423313,[0 1 0 ... 0 0 0]
390,CHEMBL2005828,Cc1ccc(NC(=O)Nc2ccc(-c3coc4ncnc(N)c34)cc2)cc1,5.300000202445418,2.371522307234004,1.2467528956671794,-0.8680917058923935,-3.898713086639556,-2.0536424210073547,-1.4318943353197464,-2.70903558085045,-2.4561251677776723,-0.4317351078622782,0.6006434770567487,-1.1303961106471148,0.4814471815589896,-0.5401445010286996,-0.38577282193634754,0.15892199896415518,0.5089224886096386,-2.0858880844584213,0.26368963266420076,0.20562486753986478,1.7767748592824837,-1.153764586822029,0.8197815302287504,1.1831667206325247,1.8747130445039402,0.3681814934041871,-0.6570721465038594,0.015330404835062475,0.6792018943155541,0.7947140260667186,-1.1639365455751405,2.5271635626520874,3.044019423969295,-3.14438595706484,-1.3101993977603175,-1.3111396457188078,-0.9415324102735256,1.0603383748980229,1.7486986696558988,1.411689065571214,-0.4005685777744829,0.7206755435910801,-1.346178990685979,-0.7208118438707726,-1.2375762956621619,-0.15359992781292472,-0.017546540685905405,0.8303783884119227,0.0650383273129877,0.4667981073054701,0.01019995771634575,0.3590201180553283,0.2717389571035594,-0.35780759566444714,0.1597791318224841,0.612754677403406,-0.3829572472381973,[0 0 0 ... 0 0 0]
391,CHEMBL1991143,Cc1ccc(-n2nc(C)c3c(=O)c4cc(Cl)ccc4n(O)c32)cc1,5.499999678657065,-2.2961176693937824,1.6368216990023425,-2.0402650786786984,0.04193755462336012,-0.17129128006765793,0.4415984339966162,1.4142630891146726,2.107035915860444,-1.4317501396467063,-0.12803336381579436,1.243593187571867,-0.9750606779712965,0.9504174731096563,-0.42747216290490037,0.7011107765378399,-0.5560700499360061,-1.6474655479524878,0.4035823230740806,-0.33790137065048953,1.3672329996865895,-0.28801496658149944,-1.3396387553383502,-0.11976736930394687,0.10422928228860101,-1.1041290126861623,-0.08743396418585338,-0.39246020803941695,-2.513104295837612,-2.242158656212072,0.02015262004410891,-0.029916042569011012,1.2788588702901054,-0.4319164484034327,0.15904979053063759,0.21128017359891588,0.6941074522985721,-0.2898570873629261,-0.6534501537460178,0.3783861832684679,-0.6079520026013515,0.902441394623996,-0.4841502947081466,-0.27157423758306265,0.06472135723926815,-0.08152802950506223,-0.01617084634246006,0.32268042368449973,-0.06539255299629852,0.0686756873059088,-0.5513244369339422,-1.5764300241052553,-0.5320288291179581,1.1718810575068999,-0.2694482706503873,-0.019487588567962396,-0.6182283039841926,[0 0 0 ... 0 0 0]
392,CHEMBL1998611,NC(=O)c1sc2c(Br)ccc(Cl)c2c1N,5.59999938302362,-6.252602048572589,-5.4190178675477885,-2.4805342857770922,-2.7030634582566795,-6.24414241736002,-2.6962802040508693,4.285584997165467,-0.9893265151979775,-0.6381802573204092,2.771704051082171,0.2197663929294044,-3.1498054555823107,-0.967368203564098,1.859097370101063,1.0787253712054072,-0.9974169650258647,-1.5158320298494543,-0.7116547933128604,0.8978352248775816,-0.30418061619459374,1.0174154081615527,-0.6018760508200951,-0.7738151407631746,-2.096373690063657,0.034408011033417445,0.6618909889487284,-0.12085698030118275,1.5177506106882006,-1.1158101393798285,-0.2724910542473131,0.03445430433075964,0.4298170634305868,0.9950616482468626,1.4143692123990594,0.07748795409319585,-0.6686672528269582,0.02554387656522572,0.8138540595138319,0.4071469682395,-0.19558346215075578,-0.7724021418057521,-0.04097614766595851,0.6225320613216669,-0.38760683030304305,0.15666835817249922,-0.26642824144733823,-0.8381779059506944,0.7270918515253448,-0.18133807757578937,-0.7391577265573386,-0.41456611198533616,0.26639615828806423,-0.1787970829127142,0.4287483903913791,-0.22621107565947268,-0.6826860336452093,[1 0 0 ... 0 0 0]
393,CHEMBL1975900,O=c1c(NCc2ccc(Cl)c(Cl)c2)c(Nc2ccncc2)c1=O,7.199970640755866,-1.2284813855976051,-2.5231572987942923,-2.5735192096277673,-3.0508609021136177,-0.9525161653169816,0.008010832411425773,4.011745216578578,1.2600019084599712,1.7304610117044559,-1.5256127109243438,2.69035965730816,1.0061327226841195,-2.8161857648960607,-0.4370762521860371,-0.3652237048174812,-0.12121067999280624,-2.3490154111305506,1.212672135158398,-0.5712951816260007,1.9972927027798224,-0.5619622879127487,1.1815877769753749,-0.48324519725441806,-0.9109844647306804,1.4735594281006064,-0.14426020296729772,-1.0956383103014717,-1.6528601684455049,1.4088264540438253,-0.47111853744644233,-0.8433973331882161,0.3281386101344917,0.6670502351181306,0.9765491168734838,-0.48047582423819846,-0.11465029585063158,-0.12449999275417964,-1.6164121156152305,0.5090437417761801,0.8177279830256861,0.9993700481811691,0.13262076321275523,0.07077003415977752,0.096415921237108,0.5948901684417148,-0.040994418932554545,1.6131610685198894,-0.4930760563696355,-0.09686576860995973,-0.38767527154792186,0.87107328753423,0.05884579227324991,0.838915403890433,0.8571471661498602,-0.9553616603876086,0.8717051771730723,[0 0 0 ... 0 0 0]
394,CHEMBL1973098,COc1cc(C=C2SC(=S)NC2=O)ccc1O,6.0999990348465305,-4.623015895000144,-7.546277138864214,-0.3325161250030408,0.1720938898112019,0.6690749921846344,0.6284667568035672,4.042052517718811,1.620762989753373,-2.0517985974090585,0.5928161846460953,-4.575420060980188,0.05711448780516639,-0.45947801478934724,1.7581063863243547,-1.4402577205702063,0.5544855727133703,1.561752831931258,1.7278944398523846,-1.16674750638586,-1.535369943548357,1.1903460911425505,0.07374802653055111,2.4072119828549496,0.6251740022594819,-1.8318787751594516,2.329204943857139,-1.333086089558923,0.3698614441594915,1.4349930898074175,2.2257370728005434,-1.549623716561738,0.6722434526377136,-2.202023974298753,1.0959167300017145,0.661413833849862,1.4690179211363878,2.7780712091981847,-1.3879896859330847,2.3749071639288744,-1.347746036047976,-0.19859912034845809,2.146880933974372,-1.9994802024180385,-1.402281913452413,-3.16200852086306,-1.1668630232836568,-1.0669071828536978,-0.6250789771254628,1.054008402865003,-0.16926096658335782,-0.1871077837004665,0.32586268890694525,-0.802747326256279,-0.1525900798758407,0.47679820530489175,0.32300062535477614,[0 0 0 ... 0 0 0]
395,CHEMBL2006778,CNC(=O)C=Cc1cnc(N)c2c(-c3cc(F)c4[nH]c(C)cc4c3)csc12,5.200000237109354,0.060632916886621695,0.2605712043937616,0.6604717600873609,-0.6142120197197382,-5.12151574722458,-0.8017046128681898,-0.44388406361466265,-0.8726644649626666,1.0904740232118872,4.321471209103985,-0.34135977121401506,0.41501860071303603,1.2637546108166455,0.2236533757606188,-0.5307775066546374,-0.8986452664049209,0.4991738330317042,0.6026925095172188,-2.0925851498289854,-1.5760614979122494,0.06686419625200815,-0.2619171121236348,-1.6972500217238071,0.1332326350409463,-1.5378233583033856,-0.6171219308782507,-0.6124887444021134,-0.4945353985105784,-1.212447559754174,-0.39524309636025756,0.5365690246102247,-2.184457712213371,-0.063491424824439,-0.18386633874407954,-0.39976556297077065,-0.2419686341881532,-0.09195596099650885,0.38034153211630994,-0.3451181177496348,0.7793151861251936,1.3320235194953562,0.34813567380043314,0.5794320327968272,-1.8015445460506783,-1.7773326537114469,0.6325407562984493,-0.669670820736451,1.0441837680031836,-0.8079990489205741,0.740154366248348,-0.4159024722428166,0.4164510458844966,0.8087702960407156,-0.05900301003896201,1.8109425896093583,0.05942649106816775,[0 0 0 ... 0 0 1]
396,CHEMBL1996979,O=C(Nc1cnc2[nH]cc(-c3ccccc3)c2c1)c1c(F)cccc1F,6.299997602857746,-0.6250170322022836,1.2138512437552051,-3.7352415196280693,-1.2326597981277054,0.07410455298244313,2.6917588265080736,-1.2788818761987408,-0.16933204966005988,0.8788001891211771,0.9938381988181308,0.8748784847462221,1.8307261048041255,-0.2618432150839129,0.8578467209618644,-0.42891295531158147,-0.20594207081311944,-0.3073165823820445,1.2859463294941265,-0.38700161963112134,0.34989317746634735,-1.8310762126508418,-0.1941220642285945,-0.3150502711129064,0.7092383322510428,1.8304087439172696,-0.25477548273665407,-0.2287968602397395,0.8865284402402819,0.7831670444678334,-1.3072571143232374,-0.09558562133486417,-1.0024204006864246,0.006408061578317286,0.2758969856463398,0.818377951102759,-0.5345047474838354,0.9060329401690849,1.056392676507117,-0.34621413090977926,-1.096646688873785,-0.2987863243838982,0.769028746803742,0.2718828755637447,-0.03810908236233293,-1.2115103508140432,0.20273295426668414,0.5478658327265902,1.0242889362873757,-1.9220471702750554,-0.24519473812267892,-0.6549233082960796,-0.4314531913015944,-0.059819341806501884,-0.7789092392809851,0.9668014761963284,-0.9725224621188076,[0 0 0 ... 0 0 0]
